Test Time (s),Indent Disp. (nm),Indent Act. Load (µN),Indent Load (µN),Indent Disp. Volt. (V),Indent Act. Load Volt. (V),Indent Act. Output Volt. (V),Dynamic Freq. (Hz),Disp. Amp. (nm),Phase Shift (deg),Load Amp. (µN),Dynamic Comp. (nm/µN),Disp. Amp. Volt. (V),Load Amp. Volt. (V),Storage Mod. (GPa),Loss Mod. (GPa),Hardness (GPa),Complex Mod. (GPa),Tan-Delta,Storage Stiff. (µN/nm),Loss Stiff. (µN/nm),Complex Stiff. (µN/nm),Damping (g/s),Contact Area (nm^2),Contact Depth (nm),Ref. Stor. Mod. (GPa),Ref. Loss Mod. (GPa),Ref. Hardness (GPa),Ref. Compl. Mod. (GPa),Ref. Indent Disp. (nm),Ref. Contact Area (nm^2),Ref. Cont. Depth. (nm)
11.150378,451.10241,963.124957,747.368751,-0.091971,1.556777,1.556777,280.0,0.068499,-6.445018,8.871474,0.007721,1.01329e-005,0.005068,60.951125,6.233621,0.182713,61.26906,0.102272,139.920732,14.310036,140.65059,0.008134,4138953.702935,447.117328,66.3,6.780664,0.216189,66.645836,413.89386,3498057.663039,409.908777
11.155398,451.075875,961.679184,745.9364,-0.091964,1.555608,1.555608,280.0,0.068176,-6.069777,8.867173,0.007689,1.008511e-005,0.00507,61.274411,5.891674,0.182364,61.557008,0.096152,140.663554,13.525121,141.312294,0.007688,4138993.763495,447.119536,66.3,6.374896,0.213505,66.605775,415.908539,3535297.771626,411.952199
11.160419,451.10672,965.515279,749.761186,-0.09197,1.558707,1.558707,280.0,0.069706,-6.12676,8.887212,0.007843,1.031139e-005,0.005071,59.98855,5.829336,0.183354,60.271115,0.097174,137.688897,13.379802,138.337455,0.007605,4137623.799705,447.044021,66.3,6.442646,0.223965,66.612294,407.400097,3387354.650758,403.337398
11.165439,451.601054,962.347253,746.393301,-0.092072,1.556137,1.556137,280.0,0.070038,-6.32446,8.875044,0.007892,1.036055e-005,0.005072,59.511062,5.97615,0.18215,59.810374,0.100421,136.738011,13.731344,137.425738,0.007805,4146417.187494,447.52849,66.3,6.657901,0.226079,66.633457,404.412652,3340729.732959,400.340088
11.170459,452.120863,965.683202,749.517473,-0.09218,1.558821,1.558821,280.0,0.069662,-6.087145,8.892843,0.007833,1.03048e-005,0.005074,59.94047,5.78569,0.182478,60.219052,0.096524,137.886588,13.309355,138.527435,0.007565,4156173.197711,448.065339,66.3,6.399536,0.223253,66.608138,407.894651,3397088.613823,403.839127
11.17548,452.330254,965.113409,748.864122,-0.092222,1.558357,1.558357,280.0,0.069515,-5.955366,8.89261,0.007817,1.028317e-005,0.005075,60.05946,5.667954,0.182143,60.326316,0.094372,138.227703,13.044877,138.841877,0.007415,4160228.862786,448.28831,66.3,6.256889,0.221961,66.594584,408.886402,3413917.384628,404.844458
11.1805,452.326979,964.578668,748.333056,-0.09222,1.557925,1.557925,280.0,0.070046,-6.315762,8.89251,0.007877,1.036174e-005,0.005076,59.535314,5.969611,0.182044,59.833852,0.10027,137.010479,13.738052,137.697514,0.007809,4159567.302553,448.251947,66.3,6.647906,0.225764,66.632459,405.41174,3354056.662537,401.336708
11.185521,452.49887,967.893391,751.578728,-0.092255,1.560596,1.560596,280.0,0.069885,-6.243879,8.910165,0.007843,1.033779e-005,0.005078,59.794717,5.924407,0.18269,60.087492,0.099079,137.659661,13.639197,138.333691,0.007753,4162724.294142,448.425445,66.3,6.568945,0.224604,66.624628,406.909718,3385916.283386,402.836293
11.190541,452.520537,964.707232,748.38661,-0.092259,1.558025,1.558025,280.0,0.069549,-6.032721,8.897853,0.007816,1.028815e-005,0.005079,60.031817,5.740781,0.181876,60.305685,0.095629,138.222308,13.218056,138.852884,0.007513,4163735.987492,448.481029,66.3,6.3402,0.22184,66.602463,408.883966,3413650.908516,404.844458
11.195562,452.953269,968.573526,752.076728,-0.092348,1.561135,1.561135,280.0,0.069889,-6.210365,8.918086,0.007837,1.033851e-005,0.00508,59.791507,5.891249,0.182448,60.081038,0.09853,137.789361,13.576367,138.456584,0.007717,4171019.77716,448.880994,66.3,6.53253,0.22433,66.621047,407.409673,3392299.561267,403.337398
